Modell,Region,WER,CER,N
whisper-large-v1,AG,0.2589,0.1245,1550
whisper-large-v1,BE,0.3464,0.1814,2494
whisper-large-v1,BL,0.348,0.1637,1254
whisper-large-v1,BS,0.2982,0.1368,2261
whisper-large-v1,GL,0.2811,0.1373,364
whisper-large-v1,GR,0.2658,0.1322,3159
whisper-large-v1,LU,0.2503,0.1207,1704
whisper-large-v1,SG,0.2869,0.1362,2450
whisper-large-v1,SH,0.187,0.0908,344
whisper-large-v1,SO,0.3341,0.1641,813
whisper-large-v1,TG,0.2767,0.1529,721
whisper-large-v1,TI,0.203,0.0985,356
whisper-large-v1,UR,0.2184,0.1001,365
whisper-large-v1,VS,0.3794,0.1843,3515
whisper-large-v1,ZG,0.2064,0.0994,723
whisper-large-v1,ZH,0.2396,0.1147,2532
whisper-large-v2,AG,0.2228,0.1085,1550
whisper-large-v2,BE,0.302,0.1593,2494
whisper-large-v2,BL,0.3168,0.15,1254
whisper-large-v2,BS,0.2692,0.1251,2261
whisper-large-v2,GL,0.2467,0.1189,364
whisper-large-v2,GR,0.2281,0.1088,3159
whisper-large-v2,LU,0.2146,0.1049,1704
whisper-large-v2,SG,0.2486,0.1183,2450
whisper-large-v2,SH,0.1704,0.0842,344
whisper-large-v2,SO,0.2844,0.1424,813
whisper-large-v2,TG,0.253,0.1411,721
whisper-large-v2,TI,0.1835,0.0932,356
whisper-large-v2,UR,0.1856,0.0843,365
whisper-large-v2,VS,0.3312,0.161,3515
whisper-large-v2,ZG,0.1762,0.085,723
whisper-large-v2,ZH,0.2058,0.0998,2532
whisper-large-v3,AG,0.2139,0.1032,1550
whisper-large-v3,BE,0.2983,0.1574,2494
whisper-large-v3,BL,0.2904,0.1351,1254
whisper-large-v3,BS,0.2504,0.1149,2261
whisper-large-v3,GL,0.2425,0.1141,364
whisper-large-v3,GR,0.2253,0.1086,3159
whisper-large-v3,LU,0.212,0.1004,1704
whisper-large-v3,SG,0.2424,0.1148,2450
whisper-large-v3,SH,0.1635,0.0799,344
whisper-large-v3,SO,0.2526,0.1227,813
whisper-large-v3,TG,0.2502,0.141,721
whisper-large-v3,TI,0.1994,0.0993,356
whisper-large-v3,UR,0.1881,0.0873,365
whisper-large-v3,VS,0.331,0.1598,3515
whisper-large-v3,ZG,0.1766,0.0849,723
whisper-large-v3,ZH,0.2022,0.0977,2532
